Kaupunginosa;Huoneet;Rakennusvuosi;Neliöt;Vuokra;Alue
Pispala;1;1939;43;440;30
Härmälä;2;2002;50;695;11
Kaleva;2;2011;56;896;16
Keskusta;2;1957;54;725;19
Tammela;2;1974;54,5;700;38
Amuri;2;1989;43,5;650;1
Hervanta;1;2007;48;595;8
Keskusta;1;1970;31;495;19
Keskusta;2;1959;52;560;19
Härmälä;1;1938;30;445;11
Kaarila;1;1960;36;419;15
Pohtola;2;1966;51,5;582;31
Hervanta;1;1977;34;499;8
Kaleva;2; ;53;630;16
Holvasti;2;2002;57,5;647,28;9
Hervanta;2;1995;52;618,72;8
Takahuhti;1; ;30,5;460;37
Keskusta;2;2006;43,5;712;19
Pyynikki;2;2010;45,5;640;32
Hervanta;2;1994;48;595;8
Peltolammi;2;1971;56,5;550;29
Keskusta;1;1967;32,5;450;19
Härmälä;2;1998;46;640;11
Nekala;1;1941;30;465;28
Kaukajärvi;2;2006;49,5;670;18
Amuri;2;1941;43;470;1
Kaleva;1;1951;37;510;16
Vuores;2;2011;52,5;675;46
Saukonmäki;2;1967;55,5;620;35
Hervanta;2;1974;58;580;8
Härmälä;1;1938;29,5;420;11
Tammela;1;1940;21;450;38
Keskusta;1;1963;38;550;19
Kaleva;2;1955;62;675;16
Keskusta;1;1939;30;550;19
Kaukajärvi;2;1972;63;630;18
Kaleva;1;1964;28,5;430;16
Viinikka;1;1941;34;450;45
Kaleva;2; ;55,5;680;16
Kaleva;2;1952;42,5;600;16
Hervanta;1;1980;30;490;8
Kissanmaa;1;1956;41;475;20
Kaleva;1;1952;47;620;16
Nekala;1;1950;37,5;307,7;28
Tampella;2;2009;49,6;750;39
Keskusta;1;1965;24;520;19
Kaukajärvi;2;1975;59,5;550;18
Nekala;1;1945;38;510;28
Vuores;2;2011;50;660;46
Keskusta;1;1937;30;540;19
Hervanta;1;1987;38,5;500;8
Kaleva;1;1960;28,5;455;16
Hervanta;1;1981;35;495;8
Hervanta;2; ;60;690;8
Järvensivu;2;1997;47,5;627;14
Epilä;2;1999;46,5;581,25;4
Hervanta;1;1979;29,5;440;8
Pyynikki;2;1963;49,5;590;32
Keskusta;2;1963;45,5;695;19
Vuores;2;2011;48;635;46
Tammela;1;1958;25;480;38
Keskusta;1;1918;40;660;19
Härmälä;1;1940;23;405;11
Kaukajärvi;1;1960;26;400;18
Keskusta;2;1966;42;680;19
Keskusta;1;1981;32,5;570;19
Tammela;1;1970;34;530;38
Amuri;2;1974;59;640;1
Hervanta;2;1974;57,5;647;8
Tampella;2;2001;58;790;39
Tampella;2;2004;56,5;780;39
Keskusta;2;1957;42;650;19
Epilä;2;1999;58;665,62;4
Rautaharkk;2;1956;54,5;630;33
Tammela;2;1975;47;690;38
Hervanta;2;1980;59;590;8
Keskusta;2;1962;48,5;650;19
Atala;1;2002;41;594,59;3
Tahmela;2;1963;56;680;36
Pyynikki;2;1966;51;650;32
Keskusta;1;1985;38,5;700;19
Härmälä;1; ;31;475;11
Tammela;2;1971;52;610;38
Keskusta;2;1964;56,1;670;19
Hervanta;2;2007;50;700;8
Haapalinna;2; ;58,5;680;5
Tammela;2;1957;45;620;38
Ruotula;2;1966;43;530;34
Tampella;2;2009;46,5;730;39
Hervanta;2;1974;62;580;8
Lielahti;1;1990;35;550;23
Hervanta;1;1978;30,5;495;8
Uusikylä;2;1973;53,5;640;43
